ID,Timestamp,Days,Hours,Minutes,RawData
C1,29101,0,8,5,###C1#T0#S2_3.94#T1#S3_22.5#T2#S1_0.66_A11#T3#S1_0.50_A11#T4#S1_0.55_A11#T5#S1_0.55_A11#T6#S1_0.53_A11#E#
C1,29401,0,8,10,###C1#T0#S2_3.94#T1#S3_22.3#T2#S1_0.36_A11#T3#S1_0.29_A11#T4#S1_0.31_A11#T5#S1_0.31_A11#T6#S1_0.30_A11#E#
C1,29701,0,8,15,###C1#T0#S2_3.94#T1#S3_22.0#T2#S1_0.20_A11#T3#S1_0.16_A11#T4#S1_0.17_A11#T5#S1_0.17_A11#T6#S1_0.17_A11#E#
C1,30001,0,8,20,###C1#T0#S2_3.94#T1#S3_21.8#T2#S1_0.10_A11#T3#S1_0.08_A11#T4#S1_0.09_A11#T5#S1_0.09_A11#T6#S1_0.08_A11#E#
C1,30301,0,8,25,###C1#T0#S2_3.94#T1#S3_21.5#T2#S1_0.04_A11#T3#S1_0.04_A11#T4#S1_0.04_A11#T5#S1_0.04_A11#T6#S1_0.04_A11#E#
C1,30601,0,8,30,###C1#T0#S2_3.94#T1#S3_21.3#T2#S1_0.02_A11#T3#S1_0.02_A11#T4#S1_0.02_A11#T5#S1_0.02_A11#T6#S1_0.02_A11#E#
C1,30901,0,8,35,###C1#T0#S2_3.94#T1#S3_21.0#T2#S1_0.01_A11#T3#S1_0.01_A11#T4#S1_0.01_A11#T5#S1_0.01_A11#T6#S1_0.01_A11#E#
C1,31201,0,8,40,###C1#T0#S2_3.94#T1#S3_20.8#T2#S1_0.01_A11#T3#S1_0.01_A11#T4#S1_0.01_A11#T5#S1_0.01_A11#T6#S1_0.00_A11#E#
C1,31501,0,8,45,###C1#T0#S2_3.94#T1#S3_20.5#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.01_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,31801,0,8,50,###C1#T0#S2_3.94#T1#S3_20.3#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.01_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,32101,0,8,55,###C1#T0#S2_3.94#T1#S3_20.0#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,32401,0,9,0,###C1#T0#S2_3.94#T1#S3_19.8#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,32701,0,9,5,###C1#T0#S2_3.94#T1#S3_19.8#T2#S1_0.00_A11#T3#S1_0.01_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,33001,0,9,10,###C1#T0#S2_3.94#T1#S3_19.8#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.01_A11#T6#S1_0.00_A11#E#
C1,33301,0,9,15,###C1#T0#S2_3.94#T1#S3_19.8#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_-0.00_A11#E#
C1,33601,0,9,20,###C1#T0#S2_3.94#T1#S3_19.5#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.01_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,33901,0,9,25,###C1#T0#S2_3.94#T1#S3_19.8#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,34201,0,9,30,###C1#T0#S2_3.94#T1#S3_19.8#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,34501,0,9,35,###C1#T0#S2_3.94#T1#S3_19.5#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,34801,0,9,40,###C1#T0#S2_3.94#T1#S3_19.5#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,35101,0,9,45,###C1#T0#S2_3.94#T1#S3_19.5#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,35401,0,9,50,###C1#T0#S2_3.94#T1#S3_19.5#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,35701,0,9,55,###C1#T0#S2_3.94#T1#S3_19.3#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,36001,0,10,0,###C1#T0#S2_3.94#T1#S3_19.3#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,36301,0,10,5,###C1#T0#S2_3.94#T1#S3_19.3#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,36601,0,10,10,###C1#T0#S2_3.94#T1#S3_19.3#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,36901,0,10,15,###C1#T0#S2_3.94#T1#S3_19.3#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,37201,0,10,20,###C1#T0#S2_3.94#T1#S3_19.0#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,37501,0,10,25,###C1#T0#S2_3.94#T1#S3_19.0#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,37801,0,10,30,###C1#T0#S2_3.94#T1#S3_18.8#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,38101,0,10,35,###C1#T0#S2_3.94#T1#S3_18.8#T2#S1_0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
